City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,abu dhabi,24.4667,54.3667,24.97,43,0,2.57,AE,1679362946
268,moerai,-22.4333,-151.3333,27.44,74,53,4.39,PF,1679363071
269,westport,41.1415,-73.3579,5.52,73,0,3.09,US,1679362731
270,airai,-8.9266,125.4092,22.42,63,81,1.14,TL,1679362944
271,toma,12.7667,-2.8833,25.97,12,8,3.54,BF,1679363075
272,lahad datu,5.0268,118.327,28.81,70,100,2.07,MY,1679363076
273,varkaus,62.3153,27.873,-3.72,98,15,1.2,FI,1679363076
274,srednekolymsk,67.45,153.6833,-23.34,89,100,8.65,RU,1679362917
275,faya,18.3851,42.4509,12.06,29,88,2.78,SA,1679363077
276,cidreira,-30.1811,-50.2056,22.86,93,73,2.38,BR,1679362946
277,burgos,42.3394,-3.7079,3.23,75,0,0.0,ES,1679363078
278,alyangula,-13.8483,136.4192,28.76,75,100,4.64,AU,1679363079
279,nueva germania,-23.9,-56.5667,22.72,86,19,1.65,PY,1679363080
280,monte carmelo,-18.7247,-47.4986,18.64,88,84,1.59,BR,1679363080
281,ongole,15.5,80.05,26.48,79,14,3.19,IN,1679363081
282,sibolga,1.7427,98.7792,24.44,89,100,1.26,ID,1679363082
283,nyurba,63.2842,118.3319,-26.59,92,62,2.12,RU,1679363083
284,luderitz,-26.6481,15.1594,15.26,78,0,3.15,NA,1679363084
285,ribeira do pombal,-10.8344,-38.5358,22.51,91,97,1.37,BR,1679363084
286,marienburg,54.0359,19.0266,7.69,87,100,3.39,PL,1679363085
287,nantucket,41.2835,-70.0995,4.03,74,0,7.2,US,1679363086
288,taraza,7.5836,-75.4007,25.16,89,100,1.07,CO,1679363086
289,omsukchan,62.5333,155.8,-21.66,80,41,2.08,RU,1679362944
290,zemio,5.0314,25.1361,19.95,81,100,1.58,CF,1679363087
291,lewisburg,35.4492,-86.7889,5.44,58,0,0.0,US,1679362790
292,roebourne,-20.7833,117.1333,33.44,49,4,2.81,AU,1679363088
293,sterling,39.0062,-77.4286,7.3,41,0,2.24,US,1679363089
294,port hedland,-20.3167,118.5667,33.03,66,13,2.57,AU,1679362528
295,pakxe,15.1167,105.7833,27.08,69,20,2.06,LA,1679363090
296,saint-joseph,-21.3667,55.6167,23.59,85,100,2.66,RE,1679362947
297,bukama,-9.2,25.85,19.72,99,100,0.63,CD,1679363091
298,general roca,-39.0333,-67.5833,19.23,30,69,7.72,AR,1679362946
299,tubajon,10.3317,125.5619,26.79,70,81,2.87,PH,1679363091
300,newport,51.5877,-2.9984,10.25,94,100,6.83,GB,1679362981
301,carnarvon,-24.8667,113.6333,25.53,66,6,8.05,AU,1679362944
302,avera,33.194,-82.5271,5.73,46,100,2.65,US,1679363093
303,evensk,61.95,159.2333,-15.33,65,10,3.29,RU,1679363097
304,tuatapere,-46.1333,167.6833,10.43,68,89,5.87,NZ,1679362946
305,san matias,-16.3667,-58.4,21.94,99,100,2.16,BO,1679363098
306,opuwo,-18.0607,13.84,18.54,46,64,1.23,NA,1679363099
307,mount isa,-20.7333,139.5,31.87,45,40,6.17,AU,1679363099
308,oriximina,-1.7656,-55.8661,25.06,84,100,1.55,BR,1679363100
309,praia da vitoria,38.7333,-27.0667,15.98,88,20,4.3,PT,1679362949
310,algiers,36.7525,3.042,7.9,93,20,2.06,DZ,1679363005
311,baicheng,45.6167,122.8167,12.37,20,43,3.1,CN,1679363103
312,ulladulla,-35.35,150.4667,19.32,60,100,3.37,AU,1679363102
313,lethem,3.3803,-59.7968,26.7,58,57,6.32,GY,1679363106
314,port lincoln,-34.7333,135.8667,21.34,62,0,3.68,AU,1679362944
